id,product_name,category,subcategory,material,color,price,availability,description,product_url,image_url
1,Edisto 40mm Walnut & Leaf,Women Watches,Watches,walnut wood and stainless steel in gray,Genuine and colored poplar fig leaf with a fine grain,299.0,Available,"Our Edisto model is inspired by life between heaven and earth and owes its name to the tree house of the same name in the USA. As special as its namesake, is the dial made with genuine poplar fig leaf. The individual structures and shapes give Edisto its unique look and make each piece a one-of-a-kind. In addition, you can enjoy a comfortable wearing experience, which is created by the natural feel of walnut wood. EAN: # 9010631016975",https://www.world.holzkern.com/en_world/edisto-walnut-leaf.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/5/_/5_q_231011_edisto_cv_09_1.jpg
2,Hanwi 24mm Nacre & Gold,Women Watches,Watches,,Genuine white nacre,179.0,Available,"Hanwi, the goddess of the night sun, is worshipped by the Lakota tribe. Together with her husband, the sun god Wi, she once illuminated the earth every day and night revealing the wonder of Being to everyone at every hour. Let this unique piece of nature inspire you to stride gracefully through life - just like the goddess Hanwi! EAN: # 9010631005016",https://www.world.holzkern.com/en_world/hanwi-nacre-gold.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_210705_hanwi_cv_1_kopie.jpg
3,Antrim 29mm Olive & Nacre,Women Watches,Watches,,,179.0,Available,"Mother of pearl is another name for nacre , a unique natural material used in the dial of the Antrim watch. Paired with soft brown olive wood , this timepiece is inspired by the magnificent Antrim coast in Northern Ireland. EAN: # 9010631017361",https://www.world.holzkern.com/en_world/antrim-olivewood-nacre-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/3/231206_1_q_antrim_fa_3_1.jpg
4,Themis 24mm Nacre & Gold,Women Watches,Watches,,Genuine green nacre,179.0,Available,"Themis is not only responsible for justice, she is also the goddess of order and philosophy. She belongs to the Titans and is the mother of the Horen, who are responsible for the seasons. Let this unique piece of nature inspire you to stride gracefully through life - just like the goddess Themis! EAN: # 9010631004996",https://www.world.holzkern.com/en_world/themis-nacre-gold.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_210705_themis_cv_1_kopie.jpg
5,Fall Dusk 40mm Walnut & Maple,Women Watches,Watches,walnut,Maplewood with a fine texture,199.0,Available,"The forests shines brilliantly with all the vibrant colors of autumn as the harvest season gives way to a festival of the senses. The rich, brown color of the walnut band and fine maple dial are a strong combination sure to distinguish from the barbecue to the fine soirée. EAN: # 9120078330043",https://www.world.holzkern.com/en_world/fall-dusk-walnut-maple.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_211210_herbstda_mmerung_q_sw_2.jpg
6,Kaleidoscopic 36mm Amethyst & Ceramic,Women Watches,Watches,stainless steel in rose gold,Genuine amethyst,549.0,Available,"Discover our first wristwatch with a flower in the dial! The view of the clockwork of our Kaleidoscopic automatic watch is based on our popular Composition jewelry collection and adds a touch of feminine playfulness to the elegant design made of genuine Amethyst, rose gold-plated stainless steel and pink ceramic. EAN: # 9010631020378",https://www.world.holzkern.com/en_world/kaleidoscopic-amethyst-ceramic.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_20241119_kaleidoscopic_amethyst_keramik_sk_29-2_1.jpg
7,Luminaire 36mm Nacre & Maple,Women Watches,Watches,stainless steel in rose gold,Unique mosaic of dark blue nacre,499.0,Available,"Discover the dreamy combination of nacre and maple wood! With its color combination of black and rose gold, our unique Luminaire is an incredibly elegant contemporary. Iridescent nacre adds an extra touch of luxury to the simple elegance of automatic and wood and is guaranteed to attract everyone's attention! An enchanting sight unfolds in the kaleidoscope. Crystals, mirrors, and light create artistic patterns and transport you into a vibrant world full of color, fantasy, and fascination. EAN: # 9010631017033",https://www.world.holzkern.com/en_world/luminaire-nacre-maple.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_122823_1_q_luminaire_fa21.jpg
8,Shirin 28mm Walnut & Rose Gold,Women Watches,Watches,,Fine-grained walnut wood,149.0,Available,"The Iranian lawyer, Shirin Ebadi, was honored with the Nobel Peace Prize in 2003 for her dedication to the issue of human rights, and she shares her thoughts and stories about her homeland in her much acclaimed books. Our model made from walnut wood and stainless steel in rose gold is dedicated to this truly amazing woman, and should remind you daily to accomplish positive contributions for our shared future. EAN: # 9010631003647",https://www.world.holzkern.com/en_world/shirin-walnut-rosegold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210510_shirin_fa_q_24_copy.jpg
9,Fall Morning 40mm Zebrawood & Wenge,Women Watches,Watches,zebrawood,wenge wood with a fine texture,199.0,Available,Walking outside and taking a deep breath of fresh morning air. You look over endless cornfields that begin to sparkle gold as the sun rises in the sky—you're ready to begin a new day full of energy. That’s a feeling one should have every morning and this model should remind you of that every time you put it on. EAN: # 9120078332702,https://www.world.holzkern.com/en_world/fallmorning-zebrawood-wenge.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_211210_herbstmorgen_q_sw_20_1.jpg
10,Calm 36mm Amaranth & Amaranth,Women Watches,Watches,,,199.0,Available,Accessorize your look with this unique wood watch made from amaranth . The rich purple color and the fine texture of the wood will accent your whole outfit with that special touch of character and class. EAN: # 9120078330081,https://www.world.holzkern.com/en_world/calm-amaranth-amaranth.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/g/e/gelassenheit_hochdiehaendeoffenblende_nicolang_juni1_7.jpg
