id,product_name,category,subcategory,material,color,price,availability,description,product_url,image_url
1,Askja 45mm Walnut & Marble,Men Watches,Watches,walnut wood and stainless steel in grey,"Genuine, grey marble",349.0,Available,"Inspired by the Icelandic volcano, our chronograph “Askja” features a dusty gray marble dial, a case and a bracelet made from stainless steel in brushed gray and fine walnut wood. Powered by the Seiko movement, this timepiece is built to last. EAN: # 9120078335116",https://www.world.holzkern.com/en_world/askja-walnut-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/2/1201124_askja_yr5.jpg
2,Edisto 40mm Walnut & Leaf,Men Watches,Watches,walnut wood and stainless steel in gray,Genuine and colored poplar fig leaf with a fine grain,299.0,Available,"Our Edisto model is inspired by life between heaven and earth and owes its name to the tree house of the same name in the USA. As special as its namesake, is the dial made with genuine poplar fig leaf. The individual structures and shapes give Edisto its unique look and make each piece a one-of-a-kind. In addition, you can enjoy a comfortable wearing experience, which is created by the natural feel of walnut wood. EAN: # 9010631016975",https://www.world.holzkern.com/en_world/edisto-walnut-leaf.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/5/_/5_q_231011_edisto_cv_09_1.jpg
3,Space Dust 43mm Walnut & Marble,Men Watches,Watches,,,399.0,Available,"Inspired by the breathtaking deep space landscapes, our “Space Dust” chronograph features a genuine marble dial in blue, gray and black stainless steel and rich walnut wood in the case and bracelet. The unique design and materials together with a stopwatch feature make this model a perfect fit for those who value functionality and style. One watch - two styles. Secure your own “Space Dust” model now, with an innovative Easy-Switch Bezel System, and receive a second interchangeable bezel for FREE with your order. EAN: # 9120078339282",https://www.world.holzkern.com/en_world/space-dust-walnut-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/0/200730_universe_q_yr_09.jpg
4,Gareth 45mm Zebrawood & Zebrawood,Men Watches,Watches,,Padauk/Marble,379.0,Available,"Have you heard of Zebrawood before? The texture and unique zebra striping pattern on this watch are magnified by the vibrant blue stainless steel in the case, framing, and dial. This watch is guaranteed to make heads turn. EAN: # 9120078333167",https://www.world.holzkern.com/en_world/gareth-zebrawood-zebrawood.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/3/231027_gareth_fa7.jpg
5,Canopy 45mm Zebrawood & Marble,Men Watches,Watches,zebrawood,"Genuine, green marble",249.0,Available,"A gentle breeze sweeps across the meadow and through the trees. The sunrays with a hue of yellow shine through the canopy of leaves as the branches dance, waving like a friendly fellow. Nature tips its hat to you, nods, and says ‘ello. EAN: # 9010631016371",https://www.world.holzkern.com/en_world/canopy-zebrawood-marble.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_230914_bla_tterdach_fa59.jpg
6,Naturalist 43mm Marble & Silver,Men Watches,Watches,,Genuine blue marble,399.0,Available,"Combine the classic design with premium natural materials, and you’ll get our bestselling chronograph “Naturalist/Existential”. With a genuine marble dial, a case made from stainless steel and a genuine leather bracelet, this watch is built to last. Luminescent markings make it easy to tell time even in the dark, and a stopwatch feature makes this model your reliable companion for every occassion. EAN: # 9010631007300",https://www.world.holzkern.com/en_world/naturalist-marble-silver.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210918_q_hanks_fa_32_copy.jpg
7,Gifted 43mm Green marble & Dark brown,Men Watches,Watches,stainless steel in silver,Genuine green marble,399.0,Available,"Sink into shadowy green marble and let fine leather caress your wrist. With its classic elegance, our Gifted watch is the perfect everyday companion and adds a touch of natural sophistication to your style. EAN: # 9010631018580",https://www.world.holzkern.com/en_world/gifted-greenmarble-darkbrown.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/4/240829_1_q_gifted_gru_ner_marmor_dunkelbraun_fa_13-2.jpg
8,Melodical 43mm Marble & Silver,Men Watches,Watches,,Genuine white marble,399.0,Available,"Every single person is individually unique, and naturally there are many different kinds of intelligence. Our ""Melodical"" watch is dedicated to musical understanding. People who find their inner strengths within singing and playing music easily recognize melodies and tones, and they have a pronounced feeling for beats and rhythms. EAN: # 9010631007294",https://www.world.holzkern.com/en_world/melodical-marble-silver.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/_/2_210918_q_melodical_fa_35_1.jpg
9,San Francisco 42mm Zebrawood & Maple,Men Watches,Watches,,"Fine-grained, black-colored maple wood",399.0,Available,"The most well-known feature of San Francisco's skyline is without a doubt the Golden Gate Bridge. The silhouette of this American metropolis also stands out thanks to its pyramid-shaped skyscraper, the so-called “Transamerica Pyramid”. San Francisco offers stunning views 24 hours a day, which are reflected in our model made from elegant zebrawood combined with black maple and golden accents. EAN: # 9010631003906",https://www.world.holzkern.com/en_world/sanfrancisco-zebrawood-maple.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/_/2_210427_san_francisco_fa_q_9.jpg
10,Nightcall 46mm Maple & Midnight Black,Men Watches,Watches,,Night black,249.0,Available,"Silence is the most beautiful music. Inspired by dark forests, the Nightcall chronograph combines dark grey coloured maple wood with black stainless steel. Your personal piece of nature for unique moments. EAN: # 9010631016395",https://www.world.holzkern.com/en_world/nightcall-maple-midnightblack.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_230914_nightcall_fa_1.jpg
11,Koh Mak 45mm Walnut & Marble,Men Watches,Watches,,Genuine blue marble,399.0,Available,"Meet one of our favorite solar-powered chronographs “Koh Mak”. Featuring a genuine blue marble dial , a bracelet made from stainless steel in silver and walnut wood elements, this timepiece blends form and function. EAN: # 9010631007140",https://www.world.holzkern.com/en_world/koh-mak-walnut-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_221209_kohmak_fa_12.jpg
12,Fall Dusk 40mm Walnut & Maple,Men Watches,Watches,walnut,Maplewood with a fine texture,199.0,Available,"The forests shines brilliantly with all the vibrant colors of autumn as the harvest season gives way to a festival of the senses. The rich, brown color of the walnut band and fine maple dial are a strong combination sure to distinguish from the barbecue to the fine soirée. EAN: # 9120078330043",https://www.world.holzkern.com/en_world/fall-dusk-walnut-maple.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_211210_herbstda_mmerung_q_sw_2.jpg
13,Priamus 44mm Maple & Marble,Men Watches,Watches,,Genuine grey marble,349.0,Available,"With its unique interplay of inked maple wood, mottled grey marble and vibrant stainless steel in blue, our model Priamus represents this bold ally of King Arthur and faithful duke of the Round Table. EAN: # 9010631017408",https://www.world.holzkern.com/en_world/priamus-maple-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/0/5/051222_priamus_fa_2_1.jpg
14,Chicago 42mm Walnut & Marble,Men Watches,Watches,,Genuine grey marble,499.0,Available,"With its case made from brushed stainless steel in a gunmetal finish, walnut accents in the bezel and bracelet, and a handsome gray-brown marble dial, we dedicate this unique timepiece to the city of Chicago. The premium natural materials combined in an urban design will make every day a special occasion. EAN: # 9120078331828",https://www.world.holzkern.com/en_world/chicago-walnut-marble.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/4/240212_q_chicago_fa_31.jpg
15,Seaburst 42mm Maple & Lapis Lazuli,Men Watches,Watches,,Made from genuine lapis lazuli stone and stainless steel in black,899.0,Available,"When the ocean’s waves are transformed into formidable towering tsunamis… Our Seaburst model, with its hybrid automatic movement and lapis lazuli stone dial, is a reminder of the untamed energy of our world. ""Hybrid automatic"" combines the benefits of a mechanical movement with a rechargeable battery, with a power reserve that lasts up to half a year. EAN: # 9010631014483",https://www.world.holzkern.com/en_world/seaburst-maple-lapis-lazuli.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_220207_stormgate_seaburst_cv_32_neu.jpg
16,Misir 43mm Maple & Maple,Men Watches,Watches,,"Fine-grained, gray-coloured maple wood",299.0,Available,The roofed bazaar Misir Çarşısı was built in Istanbul in the 17th century and is above all well-known for its enormous variety of spices. Our interplay between gray-coloured maple wood and unique stainless steel elements with filigree engravings is dedicated to this incredible market. EAN: # 9010631005627,https://www.world.holzkern.com/en_world/misir-maple-maple.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/_/q_top_310322_bazar_misir__sk_10.jpg
17,Alrakis 38mm Walnut & Marble,Men Watches,Watches,,Genuine blue marble,399.0,Available,Alrakis (known in Arabic as “The Dancer” or “The Trotting Camel“) lies in the constellation of Draco. This constellation in the northern skies is circumpolar to Central Europe - which means it can be seen all year long. EAN: # 9120078339947,https://www.world.holzkern.com/en_world/alrakis-walnut-marble.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210526_alrakis_fa_q_14_kopie.jpg
18,OPENHORIZON 44mm Blue marble & Silver,Men Watches,Watches,stainless steel in silver,Genuine blue marble,449.0,Available,"Ready to take off? Modeled on real pilot's watches, your Openhorizon allows you to keep a firm grip on the time. Tachymeter, stop function, luminescence, a prominent second hand and a stately size turn your wristwatch into a real pilot's watch and ensure a stylish eye-catcher on your wrist both in the cockpit and in everyday life. EAN: # 9010631018306",https://www.world.holzkern.com/en_world/openhorizon-bluemarble-silver.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_20240624_openhorizon_blauer_mamor_silber_sk_4_1.jpg
19,Fall Morning 40mm Zebrawood & Wenge,Men Watches,Watches,zebrawood,wenge wood with a fine texture,199.0,Available,Walking outside and taking a deep breath of fresh morning air. You look over endless cornfields that begin to sparkle gold as the sun rises in the sky—you're ready to begin a new day full of energy. That’s a feeling one should have every morning and this model should remind you of that every time you put it on. EAN: # 9120078332702,https://www.world.holzkern.com/en_world/fallmorning-zebrawood-wenge.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_211210_herbstmorgen_q_sw_20_1.jpg
20,San Juan 43mm Zebrawood & Zebrawood,Men Watches,Watches,zebrawood and brushed stainless steel in black,Black,549.0,Available,"Legend has it that a monastery on the Basque island will grant you a wish if you manage to ring its bell three times. Adventurer beware, the journey leading up to this magical place is not devoid of obstacles, for strong winds, dangerous cliffs and 241 stairs will stand between you and your greatest desire. Our model made of zebrawood and dark stainless steel is inspired by this audacious trek. May it accompany you along your journey! EAN: # 9120078334560",https://www.world.holzkern.com/en_world/san-juan-zebrawood-zebrawood.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/4/240212_san_juan_fa_26.jpg
21,Khalili 43mm Maple & Maple,Men Watches,Watches,,"Fine-grained, black-coloured maple wood",299.0,Available,"Khan el Khalili isn’t just the biggest bazaar in Cairo, it’s also the largest in all of Africa! Locals and tourists alike enjoy spending the entire day amidst the special atmosphere of this exceptional marketplace. Our interplay between black-coloured maple wood and unique stainless steel elements with filigree engravings is dedicated to this breathtaking market. EAN: # 9010631005634",https://www.world.holzkern.com/en_world/khalili-maple-maple.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/k/h/khalili_ahorn_ahorn_dez22.jpg
22,Sigiriya 43mm Walnut & Walnut,Men Watches,Watches,,Stainless steel in green,549.0,Available,"The Sigiriya monolith in Sri Lanka isn’t also called Lion Rock without reason. Its ridge bears the weight of an enormous palace, the ruins of which can still be gazed upon with astonishment today. After 1,862 steps ascending this massive rock, a magnificent view awaits as reward. Our durable and solid design is inspired by this World Cultural Heritage site. EAN: # 9010631004477",https://www.world.holzkern.com/en_world/sigiriya-walnut-walnut.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210617_q_sigiriya_fa_15.jpg
23,Hapuku 40mm Maple wood & Leaf,Men Watches,Watches,black colored maple wood and stainless steel in black,genuine and colored poplar fig leaf with a fine grain,299.0,Available,"Our Hapuku model is inspired by life between heaven and earth and owes its name to the tree house of the same name in New Zealand. As special as its namesake, is the dial made with genuine poplar fig leaf. The individual structures and shapes give Hapuku its unique look and make each piece a one-of-a-kind. In addition, you can enjoy a comfortable wearing experience, which is created by the natural feel of maple wood. EAN: # 9010631016999",https://www.world.holzkern.com/en_world/hapuku-maplewood-leaf.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_231011_hapuku__cv_11_1.jpg
24,Rilke 40mm Walnut & Walnut,Men Watches,Watches,walnut wood,Walnut wood with a fine grain,189.0,Available,"“Love consists of this: two solitudes that meet, protect and greet each other.” Rainer Maria Rilke EAN: # 9120078335642",https://www.world.holzkern.com/en_world/rilke-walnut-walnut.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/0/20221221_lyrik_rilke_sk-16.jpg
25,Substantial 43mm Nacre & Dark Gray,Men Watches,Watches,,Genuine gray nacre with purple-blue shimmer,349.0,Available,"Every step you take is brimming with power, grace and purpose. With your remarkable composure, you are a born dancer, actor or surgeon. Dedicated to all acrobats, athletes and sport-driven individuals, our Substantial model is designed to remind you of your unique talents every day. EAN: # 9010631014964",https://www.world.holzkern.com/en_world/substantial-nacre-darkgrey.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_9010631014964.jpg
26,Haiku 43mm Olive & Olive,Men Watches,Watches,olive wood and brushed stainless steel in silver,Royal Blue,549.0,Available,"3920 steps into the sky - the Haiku Stairs in Hawaii, also known as the “Stairway to Heaven”, reward its climbers’ perseverance with a sublime view above the island of O’ahu. Our model Haiku made of bright olive wood and a dial made of blue stainless steel can be your little piece of heaven. EAN: # 9120078334553",https://www.world.holzkern.com/en_world/haiku-olive-olive.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210617_q_haiku_fa_1-2.jpg
27,Lionel 44mm Walnut & Lapis Lazuli,Men Watches,Watches,,Genuine lapis lazuli,349.0,Available,"Created from walnut wood, high-quality stainless steel and distinctive lapis lazuli, our model Lionel reminds us of the knight of the same name who was a fiery and temperamental member of the King’s Round Table. EAN: # 9010631020712",https://www.world.holzkern.com/en_world/lionel-walnut-lapislazuli-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_20211020_q_lionel_fa_18_1_1.jpg
28,Existential 43mm Marble & Gold,Men Watches,Watches,,Genuine gray marble,399.0,Available,"Combine the classic design with premium natural materials, and you’ll get our bestselling chronograph “Naturalist/Existential”. With a genuine marble dial, a case made from stainless steel and a genuine leather bracelet, this watch is built to last. Luminescent markings make it easy to tell time even in the dark, and a stopwatch feature makes this model your reliable companion for every occassion. EAN: # 9010631007287",https://www.world.holzkern.com/en_world/existential-marble-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_9010631007287.jpg
29,Lipan 45mm Walnut & Walnut,Men Watches,Watches,,,379.0,Available,"As the day draws to a close, the last rays of sunlight transform the imposing rock formations of the Grand Canyon into a very special play of red, orange, purple and blue colours. This walnut and stainless steel model is dedicated to the extraordinary Lipan Point in Arizona and is designed to power you through the day with its innovative solar movement. EAN: # 9010631020729",https://www.world.holzkern.com/en_world/lipan-walnut-walnut.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_221209_lipan_fa_13_1.jpg
30,OPENHORIZON 44mm Green marble & Silver,Men Watches,Watches,stainless steel in silver,Genuine green marble,449.0,Available,"Ready to take off? Modeled on real pilot's watches, your Openhorizon allows you to keep a firm grip on the time. Tachymeter, stop function, luminescence, a prominent second hand and a stately size turn your wristwatch into a real pilot's watch and ensure a stylish eye-catcher on your wrist both in the cockpit and in everyday life. EAN: # 9010631018290",https://www.world.holzkern.com/en_world/openhorizon-greenmarble-silver.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_20240624_openhorizon_gruener_mamor_silber_sk_4_13.18.31.jpg
31,Carlos 40mm Maple & Maple,Men Watches,Watches,inked maple and stainless steel in black,Inked maple with a fine grain,249.0,Available,"Carlos is the Portuguese and Spanish form of the name Karl or Carl. This name originated from the Old High German word “karal” which means “man” or “husband”. The interplay of inked maple and black stainless steel is dedicated to this name, and should motivate you daily to cast a curious glance into the past in order to get to know yourself and your surroundings better. EAN: # 9010631014537",https://www.world.holzkern.com/en_world/carlos-maple-maple.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/c/a/carlos_holzkern_holzuhr_woodwatch_fa_2.jpg
